n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,1.0141,0.2025,0.2229,0.6680,0.4370,0.9606,0.9091,0.6682,0.4368
25,0.9,1.6032,0.2552,0.4587,0.8122,0.4524,1.4939,1.3904,0.8183,0.4435
25,0.95,3.3152,0.5299,0.9168,1.3884,0.7276,3.0556,2.8139,1.4323,0.6834
25,0.99,15.9851,1.8325,5.5664,3.7430,3.3633,14.4909,13.1399,5.0253,2.1611
50,0.8,0.4602,0.2302,0.1336,0.4089,0.3634,0.4507,0.4413,0.4089,0.3634
50,0.9,0.9487,0.4277,0.2402,0.7866,0.6521,0.9240,0.8997,0.7866,0.6521
50,0.95,1.8498,0.7105,0.4636,1.3482,0.9916,1.7947,1.7407,1.3483,0.9916
50,0.99,8.3654,3.0146,2.3800,4.4819,2.7338,8.0489,7.7444,4.5477,2.6302
100,0.8,0.2672,0.2188,0.1833,0.2612,0.2553,0.2657,0.2643,0.2612,0.2553
100,0.9,0.6333,0.4994,0.4076,0.6090,0.5859,0.6287,0.6241,0.6090,0.5859
100,0.95,1.2224,0.9586,0.7980,1.1527,1.0901,1.2131,1.2039,1.1527,1.0901
100,0.99,6.0819,4.5150,3.7536,5.3307,4.7380,6.0214,5.9617,5.3313,4.7372
200,0.8,0.3789,0.3605,0.3450,0.3779,0.3769,0.3783,0.3778,0.3779,0.3769
200,0.9,0.9308,0.8794,0.8364,0.9267,0.9227,0.9288,0.9269,0.9267,0.9227
200,0.95,2.0836,1.9605,1.8624,2.0707,2.0580,2.0792,2.0749,2.0707,2.0580
200,0.99,9.5817,8.9239,8.4197,9.4170,9.2608,9.5599,9.5382,9.4170,9.2608
