n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,1.0319,0.1926,0.2696,0.6334,0.3976,0.9698,0.9107,0.6347,0.3965
25,0.9,1.7764,0.2744,0.5027,0.9022,0.5074,1.6352,1.5032,0.9128,0.4992
25,0.95,3.9013,0.5271,1.2499,1.5840,0.8159,3.5323,3.1952,1.6409,0.7564
25,0.99,20.9304,2.3908,7.7262,4.6820,4.6307,18.6653,16.6810,6.2149,2.7405
50,0.8,0.4591,0.2237,0.1273,0.4082,0.3626,0.4485,0.4382,0.4082,0.3626
50,0.9,1.0637,0.4282,0.2736,0.8397,0.6656,1.0326,1.0021,0.8397,0.6656
50,0.95,1.7664,0.7045,0.4699,1.2752,0.9417,1.7043,1.6442,1.2755,0.9414
50,0.99,10.3956,3.5499,2.9657,5.6913,3.4533,9.9287,9.4874,5.7533,3.3638
100,0.8,0.2828,0.2263,0.1873,0.2755,0.2683,0.2809,0.2791,0.2755,0.2683
100,0.9,0.6422,0.4927,0.4015,0.6150,0.5895,0.6372,0.6322,0.6150,0.5895
100,0.95,1.2463,0.9439,0.7812,1.1683,1.0986,1.2350,1.2238,1.1683,1.0986
100,0.99,6.5492,4.5878,3.7652,5.5740,4.8423,6.4676,6.3874,5.5755,4.8404
200,0.8,0.3801,0.3617,0.3463,0.3791,0.3781,0.3796,0.3790,0.3791,0.3781
200,0.9,0.9645,0.9073,0.8599,0.9604,0.9563,0.9625,0.9605,0.9604,0.9563
200,0.95,1.7481,1.6348,1.5512,1.7357,1.7236,1.7441,1.7402,1.7357,1.7236
200,0.99,9.2933,8.7031,8.2365,9.1426,9.0004,9.2729,9.2526,9.1426,9.0004
