n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,1.3395,0.2113,0.4417,0.5067,0.2263,1.1920,1.0582,0.5250,0.2146
25,0.9,2.9644,0.3801,0.8945,0.8277,0.3947,2.5456,2.1769,0.9354,0.3341
25,0.95,6.4510,0.7356,2.0115,1.2811,1.0108,5.4649,4.6070,1.7781,0.6151
25,0.99,36.1321,3.2356,13.1537,2.1391,14.7230,30.1357,25.0202,9.3108,3.3570
50,0.8,0.4878,0.0972,0.1522,0.2682,0.1330,0.4586,0.4307,0.2684,0.1328
50,0.9,1.1036,0.1746,0.2328,0.4873,0.1773,1.0022,0.9072,0.4889,0.1761
50,0.95,2.3653,0.3303,0.5172,0.7936,0.2231,2.0883,1.8340,0.8127,0.2052
50,0.99,12.6700,1.3613,3.4009,1.7046,1.9713,10.7776,9.0989,2.7908,0.6776
100,0.8,0.2020,0.0548,0.0877,0.1365,0.0870,0.1957,0.1894,0.1365,0.0870
100,0.9,0.4840,0.0883,0.0975,0.2747,0.1364,0.4561,0.4292,0.2747,0.1364
100,0.95,1.0377,0.1620,0.1856,0.4786,0.1687,0.9497,0.8662,0.4793,0.1680
100,0.99,5.3722,0.6312,1.2551,1.2615,0.2927,4.6480,3.9910,1.3348,0.1947
200,0.8,0.0965,0.0331,0.0613,0.0735,0.0545,0.0950,0.0934,0.0735,0.0545
200,0.9,0.2276,0.0478,0.0415,0.1536,0.0969,0.2201,0.2128,0.1536,0.0969
200,0.95,0.4653,0.0798,0.0720,0.2654,0.1294,0.4392,0.4138,0.2654,0.1294
200,0.99,2.5287,0.3483,0.4705,0.8836,0.1698,2.2383,1.9686,0.8864,0.1656
