n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,1.9669,0.3211,0.5751,0.7882,0.3455,1.7401,1.5353,0.8067,0.3319
25,0.9,4.4930,0.5949,1.3165,1.3056,0.5871,3.8651,3.3123,1.4377,0.5146
25,0.95,9.6438,1.1091,3.1712,1.8943,1.5662,8.1418,6.8411,2.6893,0.9374
25,0.99,50.6577,4.5929,18.5087,3.2397,20.1541,42.3397,35.2416,13.3999,4.9489
50,0.8,0.6933,0.1323,0.1979,0.3871,0.1955,0.6431,0.5953,0.3873,0.1950
50,0.9,1.6109,0.2569,0.3435,0.7268,0.2744,1.4448,1.2907,0.7293,0.2728
50,0.95,3.4663,0.4802,0.7876,1.2010,0.3396,3.0285,2.6304,1.2276,0.3207
50,0.99,18.3137,1.9398,5.0357,2.4483,2.8767,15.5486,13.1022,4.0925,0.9804
100,0.8,0.3006,0.0721,0.1120,0.2043,0.1312,0.2885,0.2767,0.2043,0.1312
100,0.9,0.6783,0.1197,0.1292,0.3938,0.2018,0.6316,0.5869,0.3940,0.2017
100,0.95,1.4562,0.2087,0.2769,0.6747,0.2397,1.3114,1.1755,0.6753,0.2390
100,0.99,7.8368,0.9563,1.7054,1.8826,0.3784,6.7653,5.7947,1.9720,0.2654
200,0.8,0.1401,0.0441,0.0747,0.1077,0.0806,0.1370,0.1340,0.1077,0.0806
200,0.9,0.3149,0.0624,0.0607,0.2125,0.1339,0.3015,0.2884,0.2125,0.1339
200,0.95,0.6870,0.1155,0.1110,0.3996,0.2013,0.6396,0.5940,0.3996,0.2012
200,0.99,3.5308,0.4479,0.7271,1.2355,0.2443,3.0932,2.6901,1.2408,0.2352
