n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.7364,0.1395,0.1589,0.5026,0.3467,0.6964,0.6580,0.5026,0.3466
25,0.9,2.1329,0.3551,0.4962,1.1617,0.6342,1.9975,1.8685,1.1665,0.6267
25,0.95,3.8640,0.4616,1.2304,1.4654,0.6905,3.5735,3.3008,1.4999,0.6391
25,0.99,19.6340,2.4672,6.4040,4.6231,4.1427,17.8245,16.1803,5.8321,2.5544
50,0.8,0.4388,0.2202,0.1232,0.3892,0.3453,0.4297,0.4208,0.3892,0.3453
50,0.9,0.9058,0.3743,0.2285,0.7251,0.5795,0.8817,0.8579,0.7251,0.5794
50,0.95,2.3485,0.9674,0.6030,1.7433,1.3012,2.2814,2.2157,1.7435,1.3011
50,0.99,9.9035,3.3963,2.4155,5.4241,3.1496,9.5252,9.1611,5.4628,3.0952
100,0.8,0.2664,0.2199,0.1854,0.2606,0.2550,0.2650,0.2635,0.2606,0.2550
100,0.9,0.5145,0.3998,0.3271,0.4943,0.4751,0.5107,0.5069,0.4943,0.4751
100,0.95,1.1995,0.9500,0.7966,1.1340,1.0746,1.1906,1.1818,1.1340,1.0746
100,0.99,7.4489,5.5507,4.5090,6.5077,5.7495,7.3732,7.2985,6.5083,5.7485
200,0.8,0.3613,0.3451,0.3312,0.3604,0.3594,0.3608,0.3603,0.3604,0.3594
200,0.9,0.7624,0.7223,0.6885,0.7589,0.7556,0.7610,0.7597,0.7589,0.7556
200,0.95,1.8569,1.7482,1.6610,1.8450,1.8333,1.8531,1.8493,1.8450,1.8333
200,0.99,9.2188,8.5901,8.0953,9.0589,8.9073,9.1971,9.1756,9.0589,8.9073
