n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,1.0584,0.2004,0.2372,0.6888,0.4464,0.9973,0.9388,0.6891,0.4464
25,0.9,1.6573,0.2601,0.4641,0.8278,0.4819,1.5269,1.4052,0.8379,0.4698
25,0.95,4.9789,0.7937,1.3229,2.2724,1.2160,4.5660,4.1866,2.3333,1.1484
25,0.99,22.0224,2.4617,7.8193,4.8713,5.0302,19.7479,17.7322,6.5584,2.7760
50,0.8,0.3735,0.1808,0.1055,0.3288,0.2896,0.3650,0.3567,0.3288,0.2896
50,0.9,1.0131,0.4283,0.2525,0.8194,0.6653,0.9836,0.9547,0.8194,0.6652
50,0.95,1.7980,0.6966,0.5228,1.2926,0.9623,1.7356,1.6750,1.2931,0.9616
50,0.99,10.2933,3.4501,2.7720,5.4752,3.2375,9.8359,9.4034,5.5470,3.1414
100,0.8,0.2976,0.2393,0.1985,0.2903,0.2832,0.2958,0.2940,0.2903,0.2832
100,0.9,0.5728,0.4409,0.3599,0.5485,0.5257,0.5683,0.5639,0.5485,0.5257
100,0.95,1.2475,0.9608,0.8063,1.1691,1.1007,1.2366,1.2259,1.1691,1.1007
100,0.99,6.6832,5.0177,4.2438,5.8274,5.1909,6.6086,6.5354,5.8299,5.1862
200,0.8,0.3723,0.3552,0.3408,0.3713,0.3703,0.3717,0.3712,0.3713,0.3703
200,0.9,0.8645,0.8186,0.7813,0.8609,0.8574,0.8628,0.8612,0.8609,0.8574
200,0.95,1.8836,1.7556,1.6584,1.8702,1.8570,1.8796,1.8756,1.8702,1.8570
200,0.99,9.1392,8.4873,7.9942,8.9903,8.8496,9.1180,9.0968,8.9903,8.8496
