n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.1476,0.0325,0.0539,0.0791,0.0442,0.1415,0.1357,0.0794,0.0438
25,0.9,0.3569,0.0550,0.1059,0.1488,0.0676,0.3326,0.3096,0.1522,0.0652
25,0.95,0.7622,0.0952,0.2434,0.2397,0.1155,0.6831,0.6108,0.2600,0.1002
25,0.99,4.0440,0.3982,1.5345,0.6270,0.9586,3.3750,2.8016,1.1035,0.4598
50,0.8,0.0444,0.0155,0.0195,0.0333,0.0248,0.0438,0.0433,0.0333,0.0248
50,0.9,0.1045,0.0208,0.0267,0.0640,0.0373,0.1019,0.0994,0.0640,0.0372
50,0.95,0.2202,0.0326,0.0560,0.1076,0.0481,0.2103,0.2008,0.1077,0.0479
50,0.99,1.1792,0.1308,0.3595,0.3235,0.1329,1.0453,0.9222,0.3490,0.1094
100,0.8,0.0155,0.0074,0.0086,0.0135,0.0117,0.0154,0.0154,0.0135,0.0117
100,0.9,0.0352,0.0100,0.0092,0.0268,0.0201,0.0349,0.0347,0.0268,0.0201
100,0.95,0.0769,0.0154,0.0162,0.0505,0.0315,0.0755,0.0742,0.0505,0.0315
100,0.99,0.4049,0.0532,0.1037,0.1694,0.0613,0.3792,0.3545,0.1702,0.0605
200,0.8,0.0059,0.0036,0.0042,0.0054,0.0051,0.0059,0.0058,0.0054,0.0051
200,0.9,0.0126,0.0046,0.0047,0.0108,0.0092,0.0126,0.0125,0.0108,0.0092
200,0.95,0.0286,0.0069,0.0061,0.0221,0.0167,0.0285,0.0283,0.0221,0.0167
200,0.99,0.1442,0.0226,0.0296,0.0804,0.0402,0.1398,0.1356,0.0805,0.0402
