n,rho,SMLE,SRRE_k1,SKLE_k1,SRRE_k2,SKLE_k2,SRRE_k3,SKLE_k3,SRRE_k4,SKLE_k4
25,0.8,0.3181,0.0612,0.1044,0.1685,0.0933,0.2988,0.2804,0.1690,0.0928
25,0.9,0.6897,0.0925,0.2201,0.2861,0.1312,0.6243,0.5640,0.2918,0.1279
25,0.95,1.5590,0.1823,0.5255,0.5047,0.2430,1.3597,1.1816,0.5408,0.2138
25,0.99,7.9218,0.7582,2.9801,1.2476,1.6973,6.6054,5.4858,2.1546,0.8655
50,0.8,0.0881,0.0249,0.0305,0.0647,0.0468,0.0863,0.0845,0.0647,0.0468
50,0.9,0.2010,0.0343,0.0523,0.1220,0.0706,0.1927,0.1846,0.1220,0.0706
50,0.95,0.4568,0.0683,0.1178,0.2283,0.1076,0.4252,0.3952,0.2292,0.1069
50,0.99,2.3287,0.2504,0.7249,0.6886,0.2624,2.0198,1.7413,0.7345,0.2243
100,0.8,0.0304,0.0116,0.0135,0.0260,0.0222,0.0302,0.0300,0.0260,0.0222
100,0.9,0.0710,0.0164,0.0171,0.0535,0.0395,0.0699,0.0688,0.0535,0.0395
100,0.95,0.1533,0.0273,0.0312,0.1009,0.0631,0.1486,0.1441,0.1009,0.0630
100,0.99,0.8537,0.1094,0.2101,0.3676,0.1334,0.7787,0.7079,0.3688,0.1321
200,0.8,0.0113,0.0057,0.0065,0.0104,0.0095,0.0113,0.0112,0.0104,0.0095
200,0.9,0.0259,0.0077,0.0067,0.0220,0.0186,0.0257,0.0256,0.0220,0.0186
200,0.95,0.0564,0.0121,0.0108,0.0436,0.0330,0.0557,0.0550,0.0436,0.0330
200,0.99,0.3029,0.0459,0.0625,0.1729,0.0893,0.2880,0.2735,0.1729,0.0893
